,D1,A1,A2,A3,I1,I2,I3,I4,I5,I6,I7,I8,I9,I10,I11,I12,I13,I14,I15,I16,I17,I18,I19,I20,I21,I22,I23,I24,I25,I26,I27,I28,I29,I30,I31,I32,I33,I34,I35,R1,B1,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22,F23,F24,F25,F26,F27,F28,F29,F30,F31,F32,F33,F34,F35,F36,F37,F38,F39,F40,F41,F42,F43,F44,F45,F46,F47,F48,F49,F50,F51,F52,F53,F54,F55,F56,F57,F58,F59,F60,F61,F62,F63,F64,F65,F66,F67,F68,F69,F70,F71,F72,F73,F74,F75,F76,F77,F78,F79,F80,F81,F82,F83,F84,F85,F86,F87,F88,F89,F90,F91,F92,F93,F94,F95,F96,F97,F98,F99,F100,F101,F102,F103,F104,F105,F106,F107,F108,F109,F110,F111,F112,F113,F114,F115,F116,F117,F118,F119,F120,F121,F122,F123,F124,F125,F126,F127,F128,F129,F130,F131,F132,F133,F134,F135,F136,F137,F138,F139,F140,F141,F142,F143,F144,F145,F146,F147,F148,F149,F150,F151,F152,F153,F154,F155,F156,F157,F158,F159,F160,F161,F162,F163,F164,F165,F166,F167,F168,F169,F170,F171,F172,F173,F174,F175,F176,F177,F178,F179,F180,F181,F182,F183,F184,F185,F186,F187,F188,F189,F190,F191,F192,F193,F194,F195,F196,F197,F198,F199,F200,F201,F202,F203,F204,F205,F206,F207,F208
I10 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.72E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I11 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.20E-05,0,0,0,5.14E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.06E-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00016895,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.55E-06,0,0,0,0,0,0,0,6.28E-06,4.29E-06,0,7.67E-05,0,4.66E-05,0,0,5.02E-06,0,0,0,0,0,0,4.48E-06,0.000106606,0,0,0,3.12E-06,0,2.30E-05,1.69E-05,1.57E-05,3.27E-05,9.51E-07,0,0,0,0,0,0,0,0,0,0,1.21E-06,0,2.96E-05,0,0,0,0,0,0,0,6.38E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.33E-06,0,2.40E-05,0,0,0,0,0,0,0,2.12E-06,0,0,0,0,0,0,0,0,0,1.03E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.71E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.40E-05,0,4.68E-05,0,0,0,0,0,0,0,0,1.50E-05,3.50E-05
I12 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.93E-05,0,0,0,0.000394155,4.33E-05,0,0,0,0.00176326,0,0,0,9.45E-05,0.000155954,0,0,6.24E-05,0,4.55E-05,0,0,0,0,6.15E-06,0,0,3.35E-06,0,0,0,0,0,0,0,0,9.51E-06,0,0,0,0,0,0,0,0,0,2.21E-05,0,0,0,0,2.83E-06,0,0,0,0,0.000191066,5.94E-05,0,0,0,0,0,0,1.50E-05,0,0.000120969,0,0,0,0,0,3.90E-05,0.0001151,0,0,0,0,0,0,0,0.000256857,0.000199747,7.46E-05,0,0,0,0,0,1.26E-05,0.000131045,4.20E-06,0,0,0,0,0,0,8.31E-05,2.75E-05,1.38E-05,1.91E-05,0.000109876,1.59E-05,3.78E-06,0,3.22E-05,4.70E-05,3.01E-05,0,0,7.00E-06,0,0,5.38E-05,0.000239803,0,0,0,4.32E-05,0,8.05E-05,0.000108615,5.13E-05,0.000145817,9.35E-05,0.000277176,4.68E-05,0.000133309,4.28E-05,5.60E-05,2.27E-06,0,3.68E-05,1.27E-05,0,1.68E-06,1.39E-05,0,0,6.36E-06,2.86E-06,0,0,1.32E-05,0,5.15E-06,6.07E-06,0,0,0,0.000111907,0.000149196,0,0,0,0,0,0,8.69E-06,0,1.10E-05,2.94E-06,1.01E-05,0,0,0,0,0,0,5.13E-05,3.92E-06,0,0,1.81E-06,6.39E-05,3.32E-06,0,2.27E-05,0,6.58E-06,9.50E-07,0,0,0,0,0,0,0,0,0,0,1.72E-05,0,0,0,0,0,0,0,0,0,0,0,1.87E-05,0,1.42E-05,0,0,4.36E-06,0,0,0,0,0,0,0,0,0,7.69E-05,5.95E-05,5.72E-05,5.35E-05,0.000345739,0,0,0,0,0,0,0,9.19E-05,9.06E-05,3.23E-05
I13 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.00E-05,0,0,0,9.66E-06,1.47E-05,0,0,0,0.000597975,0,0,0,2.56E-05,7.05E-05,0.000105777,0.000266825,7.93E-06,0,6.95E-06,0,6.69E-07,0,0,1.67E-06,0,0,0,0,0,0,0,0,0,0,0,8.91E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.33E-05,9.46E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.13E-05,1.55E-05,0,1.28E-05,1.05E-05,0,0,0,0,0,8.80E-06,7.04E-05,1.42E-06,6.39E-05,0,0,0,0,0,2.52E-06,1.35E-05,9.22E-06,4.94E-06,0,4.41E-05,8.20E-06,0,5.99E-06,2.92E-06,3.37E-05,0,0,0,0,0,0,0,0,0,0,1.13E-05,0,8.25E-06,1.92E-05,7.87E-06,5.12E-05,3.74E-05,6.82E-05,1.06E-05,4.85E-05,0,0,0,0,0,0,0,3.79E-07,2.26E-06,0,0,0,0,0,7.80E-07,6.71E-06,0,3.32E-05,1.78E-05,0,0,0,5.69E-05,3.32E-06,0,0,0,0,0,0,0,5.38E-07,1.76E-05,0,2.04E-06,0,0,0,0,0,0,0,0,0,0,0,3.10E-06,0,0,3.86E-06,0,0,3.22E-07,0,0,0,0,0,0,0,0,0,0,1.09E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.47E-07,0,0,0,0,0,0,0,0,0,2.06E-05,2.45E-05,3.49E-05,2.72E-05,0,0,0,0,7.77E-06,0,0,0,2.08E-05,5.14E-05,1.10E-05
I14 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.68E-06,0,0,0,0,0,0,0,0,0,0,0,0,8.99E-06,0,0,0,0,0,3.61E-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.66E-07,0,0,0,0,0,0,0,2.30E-07,1.57E-07,5.77E-07,0,0,9.58E-07,0,2.00E-07,0,1.99E-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.07E-07,0,0,6.41E-06,0,3.19E-07,0,0,0,0,0,0,0,1.77E-07,0,0,0,0,0,0,0,0,0,4.67E-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.51E-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.12E-06
I15 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.015369863,0,0,0,0,0,0.017191781,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000385863,0,0,0,0,0,0,0,0.001334247,0,0.001668493,0.001334247,0,0.000584932,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000409589,0,0,0,0,0,0,0,0,0,0,0,3.45E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000303781,0,4.36E-05,0.000216164,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000290959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000216986,0.000433973,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009104877,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000276384,0,0,0,0,0,0,0.000391068,0,0,0,0,0,0,0,0,0.004452932,0.00129863,0,0,0.001224658,0,0,0,0.001260274
I16 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.61E-06,0,0,0,0,0,0,0,0,7.90E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.40E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.85E-06,0,0,0,0,0,0,0,0,0,0,0,1.23E-06,3.47E-05,0,0,0,1.40E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.79E-05,0,0,0,0,0,0,1.82E-05,2.21E-05,0,0,3.45E-05,7.79E-05,1.56E-06,7.72E-06,0,0,0,0,0,0,0,0,0,0,0,0,4.40E-05,1.04E-05,0,0,0,0.000204501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.75E-06,1.55E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.45E-06,2.43E-05,0,0,0,2.63E-05,0,1.51E-05,0,0,0,3.27E-05,0,9.87E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.34E-06,0,0,0.000159614,0,0,0,0,0,4.50E-05
I17 ,0,0,0,0,0,0,0,0,0,0,0,4.98E-05,0,0.015342466,0,0.000348692,0,0,0,8.42E-06,0.000690411,0,0,0,0.000937733,0,0,0,0.000669988,0,0.000368618,0,5.53E-06,0,8.07E-06,0,0,0,0,0,0,0,1.19E-05,0,0,0,0.000358849,0.000130214,0,0,0,4.36E-05,0,0,0,0,0,0,0.000365111,0,0.000909001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002330137,0.001127741,0.00099264,0.001913781,0.000512309,0,0.000247323,0.000160025,0.00091196,0,0.000623741,0,0,0.000259823,0,0,0,4.23E-05,0,0,0.000250456,0,0.000522902,0.000404563,0,0,0,0,0,0,0,0,0.000359502,0.00025074,0.000999875,0.000205031,0.000598451,0.001065629,0,6.49E-05,0.00035193,0.000118012,0.00027143,0,9.68E-05,0,0,0.000110062,0.000135492,0.00019457,0,0,2.91E-06,0,0.000400319,0.000158257,0.001629078,4.42E-05,2.18E-05,0.000191283,0,0,0.000134735,0,0,0,0,0,0,8.12E-05,0,0.000176658,0,0,0,0,0,0.000125626,0,0.00049594,0.000368518,0,0,0,2.65E-05,8.99E-05,0,1.59E-05,0,0,0.00042063,0,0,2.96E-05,0.000175315,6.15E-05,0.000366501,0.000964849,0,0,0,0,0,3.31E-05,0,0,0,0,0.000383205,0.000648082,0.000354192,0.001111853,1.97E-05,0.000304857,0,0,0,0,0,0,0,0,0,0,0.000562075,0.000103024,0,0,0.000151522,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.54E-05,0.000127325,0.000468692,0.000323935,0,0,0,0,0,0,0,0,0.00049072,0.000255661,0
I18 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000192877,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000290959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00026137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I19 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000582247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000535671,0,0
I20 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.17E-05,2.60E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.55E-06,0,0,0,0,0,0,3.25E-06,0,0,0,0,0,0,0,0,0,5.36E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.08E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.11E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.28E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.91E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.67E-05,0,0,0,0,0,0,0,0,0,0,0,0,0.002210959,0,0,0,0,0,0,0,0,0,0,0.000191781,0,0,0,0,0.003787671,0,0,0,0,0,0,2.18E-05,0,0,0,0,0,0,0,0,0,0,0.001542904,0.000921288,0,0,0.00016537,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003474,0.000330411,0,0,0,0,0,0,0,0,0,0.001112548,0,0,0,0,0,0,0.001685014,0.000482192,0.001468822,0.00032789,0,0,0.002240274,0.000235616,0,0.000123014,0,0.001175671,0,0,0,0,0,0.000107616,0,0,0,0,0.000208356,0,0.000778521,0,0,5.12E-05,0.00015411,0,0,0,0,0.000131288,0.000796438,0,0,0,0,0.000588082,0.000540411,0.00280274,0,0,0,0,0,0,0,0.000229699,0.001094795,0,0,0,0,0,0.001018356,0.002254932,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.39E-05,0,0,0,0,0,0.003163151,0,0.00249863,0,0,0,0.001704411,0.002834904,0,0.002273918,0,0.000595288,0.003204384,0,0.001009041,0.001867342,0,0,0,0,0.003831973,0,0,0,0.000763562,0,0,0,0,0,0,0,0,0,0,0
I22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.34E-05,0,0,0,0,0.003301965,0,0,0,0.01793925,0,0,0,0.003524717,0,0,0,0.000132222,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00695221,0.000134652,0,0,0,0,0.000639547,0,0,0,0,0,0,0,0,0,0,0.002148457,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003765742,0.000327445,0.000421751,0,0.000626909,0,0,0.000583204,0,0,0.000109565,0,0,0,0,0,0,0,8.74E-06,0,0.005567183,6.05E-05,0,0,0.002004276,0,0,0,0,0,0.000405277,5.03E-05,0.000617034,2.45E-05,0.000944062,7.68E-05,0,0.000770173,6.73E-05,0.000223633,0,0,0,0,0,0,0,0.00043869,0,0,0,0,0,0,0.000902144,0,0,9.15E-05,0.002053508,5.69E-05,0,0,0,0,0,0,0,6.63E-05,0,0.000129982,0,0,0,0,0.000116998,0.000936164,0,0.000561763,0.000270161,0,0,0,0,0,0,0,0,0,0,0,0,2.02E-05,0.000160917,0,6.97E-05,0.000202835,0,0,0,0,0,0,0,0,0,9.21E-05,0.000413008,0.000394485,0.000673734,0.000303073,0,6.00E-05,1.61E-05,0,0,0,0,0,0,0,0,0,0,0,0,3.13E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000353568,0,6.07E-05,0,0,0,0,0,0,0,0,0,0,0,0.000698702,0.000909208,0
I23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.67E-05,0,0,0,0,0,0,0,0,0.017191781,0,0,0,0.006632877,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002341644,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000927616,0,0,0.000753123,0.000646685,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001792055,0,0,0,0,0,0,0,0,0,0.000338959,0,0.000390274,0,0,0,0,0,0.000103233,2.45E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00056589,0,0,0,0,0,0.000661644,0,0,0,0,0,0,0.000152466,0,0,0,0,0,0,0,0.001799671,0,0.000258411,5.92E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000570329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000479452,0,0,0,0,0,0,0,0,0.10744863,0,0,0,0.023030822,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.028016096,0.003145377,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001045205,0,0,0,0,0,0,0.002963356,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007217466,0.004751712,0,0,0,0,0,0,0,0,0.022786986,0,0,0,0,0,0,0,0,0,0,0,0,0.303082192,0,0,0,0,0.015888699,0,0.00066524,0,0.01120137,0.007547089,0,0.000768836,0,0.002296233,0,0,0.001195034,0,0,0.002690411,0.013739726,0.003439726,0,0,0.000701199,0,0,0,0.004244178,0.000640411,0,0.007726027,0.001789041,0,0.012736644,0,0,0,0,0,0,0.000952911,0,0,0,0,0,0,0,0.007632534,0,0.010408219,0.004068493,0,0,0,0,0,0,0,0,0,0.057836644,0.017234589,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007792295,0,0.009684932,0.059409247,0.001972603,0.006164384,0.000231678,0,0,0,0,0,0,0,0,0,0,0.001705137,0.029229795,0.005255993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000132877,0,0,0,0.008147603,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002478767,0
I25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.65E-05,0,0,0.002439661,8.82E-05,0,0,0,0,0.014735812,0,0,0,0.000701892,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005198513,0,0,0.002786562,8.31E-05,0,0.000151402,0,0.000621526,0,0.001161096,0,0,0,0,0,0.002805075,0,0.000432303,0.000459361,0,0,0,0,0,0,0,0,0.000551207,0,0,0,0,0.000587084,0.002246575,0.002999061,0,0.004670776,0.00035863,0.002331585,0,0.000997534,0,0,0,0.001254377,0,0.000462857,0.000597886,3.37E-05,0,0,0,0,0,0,0,0.001114873,0.000827789,0.000195042,0,0,0,0,0,0.003306223,0.000229615,0.002179022,0.000450046,0.003328311,0.000550411,0.001444279,0.000504892,0,0.004451924,0.000847984,0.001282975,0,0,0.001547854,0.017278513,0.011554547,0.00198578,0.0018985,0.00091726,0,0,0.000480822,0,0.000440235,0.0011191,0.001257534,0,0,0.001202348,0,0,0.000529315,0.000179739,0.000345545,0,0.001326027,0,0.001381279,0.002136595,0.000679374,0.000124566,0,0,2.66E-05,0,0.000106784,0.001224266,0,0.000834025,0.003550685,0.0002597,0,0,0.00034638,0,0,0.000277104,0,0,0.004406601,0.006446184,0.000933516,2.21E-05,2.78E-05,0,0.000457926,0,0,0,0,0,0,0,0,0,0,0.001378434,0.000339256,0.000267462,0.0007379,0.000422466,0.003259491,0.000469667,1.77E-05,0,0,0,0,0,0,0,0,0,0.005878995,0.001369106,0.002377169,0.004702505,0,0.008869928,0.00022544,0.003748141,0.00923516,0.013534247,0.001056373,0.015545075,0.000587619,0.001577652,0.002253307,0.000379883,0.00068454,0,0.00025816,0.010604984,0.009267684,0.004871233,0.008556556,0,0,3.82E-05,0.000728924,0.014698252,0,0,0,0.000702962,0,0,0,0,0.00212818,0,5.83E-05,0,0.000726001,0.000961461,0
I26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000852359,0,0,0,0,0,0,0,0,0,0,0,0,0.008188737,0,0,0,0,0,0,0,0,0,0,0.006392694,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004550989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003464536,0,0,0,0.010586301,0,0.001694064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.027623744,0.004133942,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.028006088
I27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000852359,0,0,0,0,0,0,0,0,0,0,0,0,0.008188737,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000242314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004550989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002109589,0.002761644,0,0.001694064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002249619,0,0,0,0,0,0,0,0,0,0,0,0.014114764,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.028006088
I28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000511416,0,0,0,0.002469406,0,0,0,0,0,0,0,0,0.004913242,0,0,0,0.014191781,0,0,0,0,0,0,0.001278539,0,0,0,0,0,0,0,0,0,0,0,0.002907763,0,0.007206758,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006339543,0.001673425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.025250046,0.003221918,0.003642374,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004243288,0.001129863,0.000771507,0.006149772,0,0.004595434,0.001767123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004167123,0,0.001459726,0.009284384,0,0.009051142,0.005365297,0,0,0.004277991,0,0.003172785,0,0,0,0,0,0.001016438,0,0,0,0.001653699,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009803653,0.000519452,0,0.002054795,0,0,0,0,0,0,0,0,0,0,0,0.001583196,0.003744475,0.010330594,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.020986301,0,0,0,0,0,0,0,0,0.001265388,0,0,0,0,0,0,0,0.000850411,0,0,0,0,0,0,0,0,0,0,0.001532968,0.027106849,0.013574429,0,0,0,0,0,0,0,0,0.007966393,0.002163288,0
