"","tail","head","value"
"262",28,27,0.3491
"263",28,28,0.007931
"264",28,33,0.022298
"265",28,34,0.303324
"266",28,35,0.061057
"267",28,36,0.009856
"268",28,37,6e-06
"269",28,43,0.832896
"270",29,22,0.004782
"271",29,23,0.121713
"272",29,27,0.06982
"273",29,28,0.015862
"274",29,33,0.007804
"275",29,34,0.0091
"276",29,39,1e-06
"277",29,40,2e-06
"278",29,41,2e-06
"279",29,42,1e-06
"280",29,43,0.394914
"281",30,22,0.005978
"282",30,23,0.048685
"283",30,27,0.03491
"284",30,28,0.015862
"285",30,33,0.000372
"286",30,34,0.0091
"287",30,39,1e-06
"288",30,41,2e-06
"289",30,42,2e-06
"290",30,43,0.13663
"291",31,27,0.3491
"292",31,28,0.019827
"293",31,34,0.248726
"294",31,37,3e-06
"295",31,43,3.779672
"296",32,27,0.17455
"297",32,28,0.047585
"298",32,34,0.181994
"299",32,35,0.009803
"300",32,37,3e-06
"301",32,43,0.520519
"302",33,27,0.03491
"303",33,34,0.003033
"304",33,43,0.047257
"305",34,34,0.057632
"306",34,35,0.00126
"307",34,43,0.717316
"308",35,34,0.006066
"309",35,35,0.001342
"310",35,43,0.048592
"311",36,27,0.013964
"312",36,33,0.001672
"313",36,34,0.024266
"314",36,35,0.009383
"315",36,43,0.054473
"316",37,43,0.000408
"317",38,43,0.00034
"318",39,43,6.8e-05
"319",40,43,6.8e-05
"320",41,43,6.8e-05
"321",42,43,6.8e-05
"322",43,8,177.9375
"323",43,9,0.751004
"324",43,10,1.307961
"325",43,11,0.208464
"326",43,12,12.31905
"327",43,13,0.5684
"328",43,14,24.93543
"329",43,15,106.5077
"330",43,16,0.187
"331",43,17,0.092
"332",43,18,0.072
"333",43,19,7.32
"334",43,20,1.655849
"335",43,21,8.700001
"336",43,22,0.436366
"337",43,23,1.015695
"338",43,24,0.133
"339",43,25,0.038
"340",43,26,12.12744
"341",43,27,11.03157
"342",43,28,0.971517
"343",43,29,1.418354
"344",43,30,0.503083
"345",43,31,14.15232
"346",43,33,0.001487
"347",43,34,0.157729
"348",43,38,4e-06
