"","tail","head","value"
"510",27,45,0.0001390952
"511",27,51,0.0003719019
"512",27,52,8.651565e-08
"513",27,64,0.01729499
"514",27,66,0.04076139
"515",28,15,0.000150851
"516",28,45,0.000167587
"517",28,51,0.00044808
"518",28,52,1.04237e-07
"519",28,64,0.02084287
"520",28,66,0.04912312
"521",29,15,0.000168325
"522",29,45,0.0002738541
"523",29,51,0.0007322091
"524",29,52,1.70334e-07
"525",29,64,0.03391568
"526",29,66,0.07993354
"527",30,15,0.0002552189
"528",30,45,0.000126035
"529",30,51,0.0003369809
"530",30,52,7.839207e-08
"531",30,64,0.01571476
"532",30,66,0.03703706
"533",31,15,5.213063e-06
"534",31,45,6.230434e-06
"535",31,51,1.665844e-05
"536",31,52,3.875249e-09
"537",31,64,0.0007860329
"538",31,66,0.001852545
"539",32,45,0.0001183901
"540",32,51,0.0003165413
"541",32,52,7.36371e-08
"542",32,64,0.01475969
"543",32,66,0.03478609
"544",33,15,6.727418e-05
"545",33,45,9.011117e-05
"546",33,51,0.0002409319
"547",33,52,5.604798e-08
"548",33,64,0.01123832
"549",33,66,0.02648682
"550",34,45,4.932024e-06
"551",34,51,1.318683e-05
"552",34,52,3.067654e-09
"553",34,64,0.0006220587
"554",34,66,0.001466086
"555",35,15,3.152162e-07
"556",35,27,6.591889e-06
"557",35,32,7.017775e-06
"558",35,33,3.306095e-06
"559",35,34,5.416009e-07
"560",35,38,3.013429e-06
"561",35,42,2.566682e-05
"562",35,43,3.365845e-05
"563",35,51,2.554902e-06
"564",35,52,5.943488e-10
"565",35,56,4.499804e-09
"566",35,57,2.806886e-12
"567",35,58,1.162859e-08
"568",35,61,1.295561e-10
"569",35,63,1.704128e-08
"570",35,64,0.000121236
"571",35,66,0.0002857317
"572",36,36,0.008436752
"573",36,42,0.001765603
"574",36,43,0.002457941
"575",36,45,6.97811e-05
"576",36,56,3.286031e-07
"577",36,57,2.04976e-10
"578",36,58,8.491911e-07
"579",36,61,9.460951e-09
"580",36,63,1.10756e-06
"581",36,64,0.002010331
"582",36,66,0.0040267
"583",37,56,2.817372e-09
"584",37,57,1.757423e-12
"585",37,58,7.280798e-09
"586",37,61,8.11163e-11
"587",37,64,1.901201e-05
"588",37,66,3.808113e-05
"589",38,43,0.0008279357
"590",38,45,2.350512e-05
"591",38,49,2.098452e-05
"592",38,61,3.186833e-09
"593",38,64,0.002553416
"594",38,66,0.005114501
"595",39,18,2.936277e-05
"596",39,39,0.004398042
"597",39,42,0.001765601
"598",39,43,0.00110193
"599",39,45,3.128387e-05
"600",39,49,2.792907e-05
"601",39,51,0.0002526947
"602",39,61,4.241476e-09
"603",39,64,0.003398437
"604",39,66,0.006807079
"605",40,18,0.0001228418
"606",40,38,0.001019977
"607",40,42,0.001395803
"608",40,45,7.477736e-06
"609",40,49,6.675837e-06
"610",40,51,6.040118e-05
